Sample	Sig	Count
TCGA_UCEC_016	Sig1	0.7376683358808983
TCGA_UCEC_016	Other	0.2623316641191017
TCGA_UCEC_041	Sig10	0.8387376569564011
TCGA_UCEC_041	Sig1	0.16126234304359893
TCGA_UCEC_043	Sig10	0.8554947317988152
TCGA_UCEC_043	Other	0.1445052682011848
TCGA_UCEC_044	Sig1	1
TCGA_UCEC_045	Sig1	0.7518960516782218
TCGA_UCEC_045	Sig30	0.2173604904004388
TCGA_UCEC_045	Other	0.030743457921339368
TCGA_UCEC_053	Other	0.4130308900193189
TCGA_UCEC_053	Sig1	0.3247741500871697
TCGA_UCEC_053	Sig3	0.2621949598935114
TCGA_UCEC_061	Sig1	0.9329297321436982
TCGA_UCEC_061	Other	0.06707026785630177
TCGA_UCEC_062	Sig1	1
TCGA_UCEC_068	Sig1	1
TCGA_UCEC_099	Sig1	1
TCGA_UCEC_132	Sig1	1
TCGA_UCEC_147	Sig1	0.7577222193674551
TCGA_UCEC_147	Sig6	0.24227778063254493
TCGA_UCEC_158	Sig1	0.6077958490455853
TCGA_UCEC_158	Sig14	0.2869671837720962
TCGA_UCEC_158	Other	0.10523696718231856
TCGA_UCEC_160	Sig1	0.8245933836255245
TCGA_UCEC_160	Sig15	0.15647288188500577
TCGA_UCEC_160	Other	0.018933734489469778
TCGA_UCEC_173	Sig10	0.7650238497737435
TCGA_UCEC_173	Sig1	0.2023637681750886
TCGA_UCEC_173	Other	0.0326123820511679
TCGA_UCEC_185	Sig1	0.883346960748022
TCGA_UCEC_185	Other	0.11665303925197801
TCGA_UCEC_207	Sig1	0.5639157129184754
TCGA_UCEC_207	Sig6	0.35448248154748385
TCGA_UCEC_207	Other	0.08160180553404073
TCGA_UCEC_221	Sig1	0.7717283858427204
TCGA_UCEC_221	Sig6	0.22827161415727962
TCGA_UCEC_259	Sig1	1
TCGA_UCEC_277	Sig1	0.847719618092233
TCGA_UCEC_277	Other	0.15228038190776705
TCGA_UCEC_285	Sig1	0.9015117622571582
TCGA_UCEC_285	Other	0.09848823774284177
TCGA_UCEC_287	Sig3	0.43448230126112114
TCGA_UCEC_287	Other	0.37497067675367024
TCGA_UCEC_287	Sig1	0.19054702198520865
TCGA_UCEC_288	Sig13	0.44785772620114594
TCGA_UCEC_288	Sig1	0.33075210935522376
TCGA_UCEC_288	Other	0.22139016444363024
TCGA_UCEC_300	Sig1	0.9834906106402914
TCGA_UCEC_300	Other	0.01650938935970858
TCGA_UCEC_310	Sig1	0.47321717123854135
TCGA_UCEC_310	Sig3	0.34730003182876124
TCGA_UCEC_310	Other	0.17948279693269742
TCGA_UCEC_325	Sig1	1
TCGA_UCEC_361	Sig1	0.9274614210742442
TCGA_UCEC_361	Other	0.07253857892575577
TCGA_UCEC_382	Sig1	1
TCGA_UCEC_410	Sig10	0.8055935495864679
TCGA_UCEC_410	Sig1	0.18970638008602092
TCGA_UCEC_410	Other	0.0047000703275111855
TCGA_UCEC_414	Sig1	1
TCGA_UCEC_426	Sig26	0.49983561135308646
TCGA_UCEC_426	Sig1	0.39138717591687555
TCGA_UCEC_426	Other	0.10877721273003793
TCGA_UCEC_430	Sig3	0.5433209372541725
TCGA_UCEC_430	Sig1	0.24397075315397052
TCGA_UCEC_430	Other	0.21270830959185694
TCGA_UCEC_459	Sig3	0.45348365631916154
TCGA_UCEC_459	Other	0.30500187442099347
TCGA_UCEC_459	Sig1	0.24151446925984496
TCGA_UCEC_462	Sig1	0.7290972769291433
TCGA_UCEC_462	Sig3	0.20856365146614425
TCGA_UCEC_462	Other	0.062339071604712526
TCGA_UCEC_469	Sig26	0.49918356175081297
TCGA_UCEC_469	Sig1	0.28314147984084226
TCGA_UCEC_469	Sig15	0.21767494073654797
TCGA_UCEC_469	Other	1.7671796803675477e-8
TCGA_UCEC_471	Sig10	0.8718494885921724
TCGA_UCEC_471	Other	0.12815051140782763
TCGA_UCEC_491	Sig1	0.9789789504526505
TCGA_UCEC_491	Other	0.021021049547349513
TCGA_UCEC_504	Sig13	0.3513914923329448
TCGA_UCEC_504	Sig2	0.3512586071709242
TCGA_UCEC_504	Sig1	0.2337929160166408
TCGA_UCEC_504	Other	0.06355698447949021
TCGA_UCEC_506	Sig26	0.417853360372483
TCGA_UCEC_506	Sig1	0.28701224928156616
TCGA_UCEC_506	Sig21	0.2580663142382823
TCGA_UCEC_506	Other	0.03706807610766849
