Sample	Sig1	Sig10	Sig13	Sig14	Sig15	Sig2	Sig21	Sig26	Sig3	Sig30	Sig6
TCGA_UCEC_016	0.737668335880898	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_041	0.161262343043599	0.838737656956401	0	0	0	0	0	0	0	0	0
TCGA_UCEC_043	0	0.855494731798815	0	0	0	0	0	0	0	0	0
TCGA_UCEC_044	1	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_045	0.751896051678222	0	0	0	0	0	0	0	0	0.217360490400439	0
TCGA_UCEC_053	0.32477415008717	0	0	0	0	0	0	0	0.262194959893511	0	0
TCGA_UCEC_061	0.932929732143698	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_062	1	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_068	1	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_099	1	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_132	1	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_147	0.757722219367455	0	0	0	0	0	0	0	0	0	0.242277780632545
TCGA_UCEC_158	0.607795849045585	0	0	0.286967183772096	0	0	0	0	0	0	0
TCGA_UCEC_160	0.824593383625524	0	0	0	0.156472881885006	0	0	0	0	0	0
TCGA_UCEC_173	0.202363768175089	0.765023849773743	0	0	0	0	0	0	0	0	0
TCGA_UCEC_185	0.883346960748022	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_207	0.563915712918475	0	0	0	0	0	0	0	0	0	0.354482481547484
TCGA_UCEC_221	0.77172838584272	0	0	0	0	0	0	0	0	0	0.22827161415728
TCGA_UCEC_259	1	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_277	0.847719618092233	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_285	0.901511762257158	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_287	0.190547021985209	0	0	0	0	0	0	0	0.434482301261121	0	0
TCGA_UCEC_288	0.330752109355224	0	0.447857726201146	0	0	0	0	0	0	0	0
TCGA_UCEC_300	0.983490610640291	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_310	0.473217171238541	0	0	0	0	0	0	0	0.347300031828761	0	0
TCGA_UCEC_325	1	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_361	0.927461421074244	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_382	1	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_410	0.189706380086021	0.805593549586468	0	0	0	0	0	0	0	0	0
TCGA_UCEC_414	1	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_426	0.391387175916876	0	0	0	0	0	0	0.499835611353086	0	0	0
TCGA_UCEC_430	0.243970753153971	0	0	0	0	0	0	0	0.543320937254173	0	0
TCGA_UCEC_459	0.241514469259845	0	0	0	0	0	0	0	0.453483656319162	0	0
TCGA_UCEC_462	0.729097276929143	0	0	0	0	0	0	0	0.208563651466144	0	0
TCGA_UCEC_469	0.283141479840842	0	0	0	0.217674940736548	0	0	0.499183561750813	0	0	0
TCGA_UCEC_471	0	0.871849488592172	0	0	0	0	0	0	0	0	0
TCGA_UCEC_491	0.97897895045265	0	0	0	0	0	0	0	0	0	0
TCGA_UCEC_504	0.233792916016641	0	0.351391492332945	0	0	0.351258607170924	0	0	0	0	0
TCGA_UCEC_506	0.287012249281566	0	0	0	0	0	0.258066314238282	0.417853360372483	0	0	0
